#Data tag : 19v3 , Norm tag: None
#run:fill,time,ncms,hltpath,delivered(/fb),recorded(/fb)
322510:7142,09/09/18 08:32:39,9,HLT_Mu30_TkMu0_Psi_v1,0.002497753,0.002228890
322599:7144,09/09/18 15:58:47,252,HLT_Mu30_TkMu0_Psi_v1,0.100548692,0.094350581
322602:7144,09/09/18 17:40:01,69,HLT_Mu30_TkMu0_Psi_v1,0.025794356,0.024109024
322603:7144,09/09/18 18:08:09,10,HLT_Mu30_TkMu0_Psi_v1,0.003641608,0.002693892
322605:7144,09/09/18 18:13:23,280,HLT_Mu30_TkMu0_Psi_v1,0.093444700,0.089623887
322617:7144,09/09/18 21:12:33,601,HLT_Mu30_TkMu0_Psi_v1,0.141694463,0.136645564
322625:7145,09/10/18 03:32:10,1120,HLT_Mu30_TkMu0_Psi_v1,0.347816656,0.335273291
322633:7145,09/10/18 10:51:34,249,HLT_Mu30_TkMu0_Psi_v1,0.052624689,0.050945617
323414:7213,09/24/18 01:51:16,40,HLT_Mu30_TkMu0_Psi_v1,0.006922388,0.006204142
323423:7213,09/24/18 05:01:48,136,HLT_Mu30_TkMu0_Psi_v1,0.022299813,0.021037074
323470:7217,09/24/18 13:47:51,221,HLT_Mu30_TkMu0_Psi_v1,0.084338654,0.080200218
323471:7217,09/24/18 15:18:19,232,HLT_Mu30_TkMu0_Psi_v1,0.080490089,0.075495647
