#Data tag : 19v3 , Norm tag: None
#run:fill,time,ncms,hltpath,delivered(/fb),recorded(/fb)
316928:6724,05/25/18 17:30:22,149,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.045713438,0.044417240
316985:6731,05/27/18 20:04:08,471,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.178089815,0.172546110
316993:6733,05/28/18 03:32:50,211,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.079701346,0.074473713
316994:6733,05/28/18 04:58:46,14,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.005071474,0.004777100
316995:6733,05/28/18 05:06:29,623,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.191895663,0.186194514
317080:6737,05/28/18 20:40:32,26,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.008321786,0.007844260
317087:6738,05/28/18 23:14:11,741,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.252944673,0.243200389
317089:6738,05/29/18 04:46:51,1003,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.221327453,0.212904926
317182:6741,05/30/18 09:15:46,1377,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.421884343,0.406207245
317212:6744,05/31/18 02:42:17,140,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.054310040,0.051172376
317213:6744,05/31/18 03:40:05,375,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.130330487,0.125489076
317279:6747,05/31/18 17:11:10,466,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.068311783,0.065891594
317291:6749,06/01/18 02:53:28,791,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.283387869,0.274028870
317292:6749,06/01/18 08:08:05,330,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.087646871,0.085006647
317297:6749,06/01/18 11:34:35,697,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.127414434,0.123798905
317319:6751,06/01/18 19:42:33,139,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.056781549,0.053514561
317320:6751,06/01/18 20:37:54,1820,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.477050150,0.460767275
317338:6752,06/02/18 10:48:26,42,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.015939426,0.013631072
317339:6752,06/02/18 11:06:14,163,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.068357516,0.065749760
317340:6752,06/02/18 12:17:48,418,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.147844107,0.140596348
